Nombre;Email;Promoción;Fecha_comienzo;Campus;Proyecto_HLF;Proyecto_EDA;Proyecto_BBDD;Proyecto_ML;Proyecto_Deployment
Guillermo Borrego;Guillermo_Borrego@gmail.com;Febrero;12/02/2024;Madrid;Apto;No Apto;No Apto;Apto;No Apto
Sergio Aguirre;Sergio_Aguirre@gmail.com;Febrero;12/02/2024;Madrid;Apto;No Apto;Apto;Apto;No Apto
Carlito Carrión;Carlito_Carrión@gmail.com;Febrero;12/02/2024;Madrid;Apto;No Apto;Apto;Apto;Apto
Haydée Figueroa;Haydée_Figueroa@gmail.com;Febrero;12/02/2024;Madrid;Apto;Apto;Apto;Apto;Apto
Chita Mancebo;Chita_Mancebo@gmail.com;Febrero;12/02/2024;Madrid;No Apto;Apto;No Apto;Apto;Apto
Joaquina Asensio;Joaquina_Asensio@gmail.com;Febrero;12/02/2024;Madrid;No Apto;No Apto;Apto;Apto;Apto
Cristian Sarabia;Cristian_Sarabia@gmail.com;Febrero;12/02/2024;Madrid;Apto;Apto;No Apto;Apto;Apto
Isabel Ibáñez;Isabel_Ibáñez@gmail.com;Febrero;12/02/2024;Madrid;No Apto;Apto;No Apto;Apto;Apto
Desiderio Jordá;Desiderio_Jordá@gmail.com;Febrero;12/02/2024;Madrid;No Apto;Apto;No Apto;No Apto;Apto
Rosalina Llanos;Rosalina_Llanos@gmail.com;Febrero;12/02/2024;Madrid;Apto;Apto;Apto;Apto;Apto
