Nombre;Email;Promoción;Fecha_comienzo;Campus;Proyecto_WebDev;Proyecto_FrontEnd;Proyecto_Backend;Proyecto_React;Proyecto_FullSatck
Amor Larrañaga;Amor_Larrañaga@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;No Apto
Teodoro Alberola;Teodoro_Alberola@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;No Apto;Apto;No Apto;Apto
Cleto Plana;Cleto_Plana@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;No Apto;Apto
Aitana Sebastián;Aitana_Sebastián@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;No Apto;Apto
Dolores Valbuena;Dolores_Valbuena@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;No Apto
Julie Ferrer;Julie_Ferrer@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;No Apto;No Apto;Apto;No Apto
Mireia Cabañas;Mireia_Cabañas@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;Apto;Apto
Flavia Amador;Flavia_Amador@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;No Apto;Apto;Apto
Albino Macias;Albino_Macias@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;Apto;Apto
Ester Sánchez;Ester_Sánchez@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;No Apto;Apto
Luis Miguel Galvez;Luis_Miguel_Galvez@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;Apto;Apto
Loida Arellano;Loida_Arellano@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
Heraclio Duque;Heraclio_Duque@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;No Apto;No Apto;No Apto
Herberto Figueras;Herberto_Figueras@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
